"","fips","state","county","ibclc_rate","bf_pct","im_rate","la_leche_count","baby_friendly_count","wic_site_count","la_leche_in_county","baby_friendly_in_county","wic_site_in_county","rucc","svi"
"227","37135","NC","Orange",3.619909502,93.4,5.6,2,2,2,"Y","Y","Y",2,29.59
"228","37137","NC","Pamlico",0,72.3,14.4,0,0,1,"N","N","Y",3,71.62
"229","37139","NC","Pasquotank",2.178649237,65.6,6.7,1,0,1,"Y","N","Y",4,77.48
"230","37141","NC","Pender",0,85.8,7.6,1,0,1,"Y","N","Y",2,54.78
"231","37143","NC","Perquimans",0,62.1,3.4,0,0,1,"N","N","Y",8,50.48
"232","37145","NC","Person",0,77.1,10.1,0,0,1,"N","N","Y",2,77.32
"233","37147","NC","Pitt",1.498501499,71.1,9.9,0,0,1,"N","N","Y",3,82.42
"234","37149","NC","Polk",0,84.6,4,0,0,1,"N","N","Y",8,38.25
"235","37151","NC","Randolph",0.6414368185,79.4,9.7,0,0,1,"N","N","Y",2,69.65
"236","37153","NC","Richmond",0,62.7,10.1,0,0,1,"N","N","Y",5,97.96
"237","37155","NC","Robeson",0.5780346821,48.4,10.3,0,0,1,"N","N","Y",4,99.11
"238","37157","NC","Rockingham",0,80.1,9.1,0,0,1,"N","N","Y",2,78.57
"239","37159","NC","Rowan",1.259445844,78.5,7.9,0,0,1,"N","N","Y",1,81.43
"240","37161","NC","Rutherford",0,68.7,6.5,0,0,1,"N","N","Y",4,75.51
"241","37163","NC","Sampson",0,81.5,6.2,0,0,1,"N","N","Y",6,97.23
"242","37165","NC","Scotland",0,49,8,0,0,1,"N","N","Y",6,99.36
"243","37167","NC","Stanly",0,73.4,9.6,0,0,1,"N","N","Y",6,63.25
"244","37169","NC","Stokes",0,79,4.1,0,0,2,"N","N","Y",2,30.67
"245","37171","NC","Surry",1.322751323,72.3,5.9,0,0,1,"N","N","Y",4,72.58
"246","37173","NC","Swain",0,72.7,11.6,0,0,2,"N","N","Y",8,77.74
"247","37175","NC","Transylvania",0,85.6,6,0,0,1,"N","N","Y",6,39.75
"248","37177","NC","Tyrrell",0,74.6,0,0,0,1,"N","N","Y",9,87.64
"249","37179","NC","Union",0.429000429,86.3,4.4,0,0,1,"N","N","Y",1,18.73
"250","37181","NC","Vance",1.869158879,56,7.9,0,0,1,"N","N","Y",4,97.87
"251","37183","NC","Wake",1.83237731,93.4,5.6,2,0,6,"Y","N","Y",1,27.74
"252","37185","NC","Warren",0,60.6,5.9,0,0,1,"N","N","Y",8,89.43
"253","37187","NC","Washington",0,44.9,21.9,0,0,1,"N","N","Y",7,87.87
"254","37189","NC","Watauga",3.322259136,94.1,9.5,0,0,1,"N","N","Y",5,41.21
"255","37191","NC","Wayne",0.64808814,75.8,8,0,0,3,"N","N","Y",3,95.03
"256","37193","NC","Wilkes",0,65.4,7.9,0,0,1,"N","N","Y",6,69.24
"257","37195","NC","Wilson",1.113585746,66.4,11,0,0,1,"N","N","Y",4,93.6
"258","37197","NC","Yadkin",0,81.9,6.8,0,0,1,"N","N","Y",2,64.04
"259","37199","NC","Yancey",0,85.8,2.3,0,0,1,"N","N","Y",8,57.36
